,question,label
0,When does diffusion happen quickly?,Cell Strucuture and transport
1,Where does the net movement move from?,Cell Strucuture and transport
2,What are found in the green parts of a plant?,Cell Strucuture and transport
3,What structures do DNA form?,Cell Strucuture and transport
4,Define hypotonic solution ?,Cell Strucuture and transport
5,What is an example of a prokaryote? ,Cell Strucuture and transport
6,What is a specialized cell?,Cell Strucuture and transport
7,The greater the difference in diffusion implies what?,Cell Strucuture and transport
8,How much water do plants need?,Cell Strucuture and transport
9,What helps sperm move through water to the female reproductive system?,Cell Strucuture and transport
10,What is the middle section of the sperm full of?,Cell Strucuture and transport
11,What was invented in 1930’s that allowed biologists to see subcellular structures inside cells?,Cell Strucuture and transport
12,Why do fish need a constant flow of water over their gills?,Cell Strucuture and transport
13,When can osmosis cause problems?,Cell Strucuture and transport
14,What does the nucleus control? ,Cell Strucuture and transport
15,What do chloroplasts contain?,Cell Strucuture and transport
16,What do plasmids cdoe for?,Cell Strucuture and transport
17,How does water from soil move into the plant?,Cell Strucuture and transport
18,What makes gas particles move around more quickly?,Cell Strucuture and transport
19,What adaptions do photosynthetic cells usually have?,Cell Strucuture and transport
20,What are eukaryotic cells formed by?,Cell Strucuture and transport
21,What is the resolving power of a light microscope?,Cell Strucuture and transport
22,Suggest why the cell within the trunk of a tree cannot carry out photosynthesis ? ,Cell Strucuture and transport
23,What are the size of plant cells?,Cell Strucuture and transport
24,What do the special proteins in muscle cells do?,Cell Strucuture and transport
25,What health problems can cystic fibrosis cause?,Cell Strucuture and transport
26,What do all cells need to move? ,Cell Strucuture and transport
27,How expensive are light microscopes?,Cell Strucuture and transport
28,How do nerve endings or synapses transport impulses?,Cell Strucuture and transport
29,How far to light microscopes magnify?,Cell Strucuture and transport
30,What happens to the organism’s surface are to volume ratio as an organism gets bigger and more complex?,Cell Strucuture and transport
31,What controls the passage of substances such as urea or homes?,Cell Strucuture and transport
32,How much do electron microscopes cost?,Cell Strucuture and transport
33,Why are cell specialized in organisms?,Cell Strucuture and transport
34,What do sperm cells need to move through to reach the egg?,Cell Strucuture and transport
35,What are nerve cells specialized to do?,Cell Strucuture and transport
36,Define the isotonic solution ?,Cell Strucuture and transport
